Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/007--LungMeta-AYEY/t2.nii.gz,/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/007--LungMeta-AYEY/flair_seg_label1.nii.gz,v3.0.1,1.19.5,2.1.1.2,1.1.1,3.6.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b79f12e0603cee7c1104c94ee4130404e50e9799,3D,"(0.6875, 0.6875, 6.4999566078186035)","(320, 320, 21)",101.76450846354167,-407.0,1448.0,11e9e3f3f1649c6998a6ad8fada5948b675f3a6c,"(0.6875, 0.6875, 6.4999566078186035)","(320, 320, 21)","(142, 167, 2, 109, 94, 6)",26229,1,"(195.01391589462045, 214.7769644286858, 3.9475389835678065)","(22.978580930682995, 49.58456352465919, 6.720288990399915)",0.7716097891929973,0.46739521055492167,32.419493271217235,69.36205707526769,71.5,64.87496087190898,81.86736605632308,81.86736605632308,80354.05895280745,53.520442237839944,0.6654624073490553,13532.11907268331,0.16840616701927685,80581.91713220067,381.0,760.0,9236005984.0,4.695986268757468,194.0,4.277607725187928,1165.0,123.17929861609588,570.5847725799688,570.0,-44.0,1209.0,81.22361432651284,593.4050477119687,0.15251148191648822,28375274270.28089,0.04762002151225437,26562.567949909204,705.7418959318403,68492.06953571484,369.8546123763332,123.4991821693129,39.902857563550484,0.5107419779944652,4.555862575130893,3.568813936587556,16.324562959101794,0.3272544357347706,0.24345639539155162,0.9844822781618077,0.9204597865038898,-0.10693271014817687,0.6514053874768935,0.23843937064528728,26.165885861857205,0.0037797480018058947,8.808729423462418,0.5296430886259412,0.009391456698914806,52.33177172371443,5.455911638213177,40.850509933215825,7.426545004372884,4325.229288192459,0.16490256159946848,3.7920482785433878,1249.0255442449197,42.567540106568416,684.8553890731633,15.020130390026306,10850.314079835296,0.034048793518912615,0.0025726931181749508,0.2629838115814251,172.49403328978087,0.0008630988852749523,1121.513404040523,0.046997712281877595,43.34444024243721,682.0309202454622,1.385475182041124,956.682750117825,0.003548416603316712,0.0026010428905133037,5.158614726479372,20429.05618056753,0.8473329936470103,0.9095833443311425,0.14944441969139738,0.9331233050961406,634.5628388247474,0.00245356630587662,313.3007214276674,0.03965329976302587,55.1521130822174,649.0282242754082,90.74231109986077,71349.82609796229,0.15019910783030768,0.0032977613069405227,2741.067333248956,0.34692663374876037,0.6104944790902601,394.68868076929266,0.002252868093371952,7.202903214419226,0.30123146135956386,79.72186074152256,2.265880873114951,0.00029096397845746716,3242.4209304434853,0.11723564408228598,0.2799623710569259
Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/007--LungMeta-AYEY/t2.nii.gz,/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/007--LungMeta-AYEY/flair_seg_label1.nii.gz,v3.0.1,1.19.5,2.1.1.2,1.1.1,3.6.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b79f12e0603cee7c1104c94ee4130404e50e9799,3D,"(0.6875, 0.6875, 6.4999566078186035)","(320, 320, 21)",101.76450846354167,-407.0,1448.0,11e9e3f3f1649c6998a6ad8fada5948b675f3a6c,"(0.6875, 0.6875, 6.4999566078186035)","(320, 320, 21)","(142, 167, 2, 109, 94, 6)",26229,1,"(195.01391589462045, 214.7769644286858, 3.9475389835678065)","(22.97858093059301, 49.58456340741125, 6.720288983570274)",0.7716097891929973,0.46739521055492167,32.419493271217235,69.36205707526769,71.5,64.87496087190898,81.86736605632308,81.86736605632308,80354.05895280745,53.520442237839944,0.6654624073490553,13532.11907268331,0.16840616701927685,80581.91713220067,381.0,760.0,9236005984.0,4.695986268757468,194.0,4.277607725187928,1165.0,123.17929861609588,570.5847725799688,570.0,-44.0,1209.0,81.22361432651284,593.4050477119687,0.15251148191648822,28375274270.28089,0.04762002151225437,26562.567949909204,705.7418959318403,68492.06953571484,369.8546123763332,123.4991821693129,39.902857563550484,0.5107419779944652,4.555862575130893,3.568813936587556,16.324562959101794,0.3272544357347706,0.24345639539155162,0.9844822781618077,0.9204597865038898,-0.10693271014817687,0.6514053874768935,0.23843937064528728,26.165885861857205,0.0037797480018058947,8.808729423462418,0.5296430886259412,0.009391456698914806,52.33177172371443,5.455911638213177,40.850509933215825,7.426545004372884,4325.229288192459,0.16490256159946848,3.7920482785433878,1249.0255442449197,42.567540106568416,684.8553890731633,15.020130390026306,10850.314079835296,0.034048793518912615,0.0025726931181749508,0.2629838115814251,172.49403328978087,0.0008630988852749523,1121.513404040523,0.046997712281877595,43.34444024243721,682.0309202454622,1.385475182041124,956.682750117825,0.003548416603316712,0.0026010428905133037,5.158614726479372,20429.05618056753,0.8473329936470103,0.9095833443311425,0.14944441969139738,0.9331233050961406,634.5628388247474,0.00245356630587662,313.3007214276674,0.03965329976302587,55.1521130822174,649.0282242754082,90.74231109986077,71349.82609796229,0.15019910783030768,0.0032977613069405227,2741.067333248956,0.34692663374876037,0.6104944790902601,394.68868076929266,0.002252868093371952,7.202903214419226,0.30123146135956386,79.72186074152256,2.265880873114951,0.00029096397845746716,3242.4209304434853,0.11723564408228598,0.2799623710569259
