Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/t1.nii.gz,/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/flair_seg_label1.nii.gz,v3.0.1,1.19.5,2.1.1.2,1.1.1,3.6.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},7659e2362aba021fee1e6087c757a7c2d8c831d8,3D,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)",113.6061331431071,0.0,1280.0,580b32b4b215d3d1a576ef7082661883d4cd7d9c,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)","(167, 247, 1, 236, 205, 16)",118819,11,"(289.7043738795984, 363.56740925272896, 8.728435687895034)","(17.439291024645115, 20.481109387898215, -18.752865351000608)",0.4913999425003318,0.44535781200728053,57.250512099248574,128.54947315555938,112.21990545553047,118.72059468444452,116.28130374729082,138.70042925235478,182369.11865092439,63.169203717089836,0.45004492322844164,34556.450228151545,0.189486303842355,182791.79554458283,356.0,689.0,35500524742.0,4.37230177973631,173.0,5.159106359848045,1116.0,108.06766338610454,527.5991213526456,543.0,0.0,1116.0,71.90951139844296,546.6060569116128,-1.008436780156539,54614200257.24058,0.05580270091077961,20417.348600377623,467.4034822381984,38663.618939455475,-642.9914693112067,91.91695332307803,22.5055692464791,0.5901189376616172,3.098244834984444,2.915265734774178,10.302459353911349,0.44369683327726894,0.37450208559325127,0.9896924626562845,0.9401485501928408,-0.2089834101334501,0.7244577096033825,0.2792016139749261,21.21280314769421,0.008840215798192472,7.759662225298486,0.6143361617161035,0.01790870800646616,42.42560629538843,5.184967026870721,28.60563064238926,7.832414210743275,12267.538651225814,0.10324559751576612,8.867166213750696,6630.421119517922,32.36328978544175,500.3844166337034,47.01210244152871,22687.006051220764,1.9994110172675772,0.021912705701510025,0.07123236518906424,35.26240673243293,0.0005964529535027287,5286.030719094201,0.055774405495794675,30.928878807821434,503.72016923963963,3.139833949470068,1489.722108795323,0.18871981223621653,0.017544946866864055,5.23228109797826,74882.63121243611,0.7210279916693371,0.8009169732631469,1.0117676947352772,0.8457968699593775,426.03681694075146,0.01454010448244362,316.42062537582683,0.047567742840623393,34.92273488746801,490.8466626578473,13959.402134696333,6547480.619061937,572.992837031484,0.0058859187580663965,1307.5769693325315,0.19656899719370588,0.45197394992204465,210.83557585018562,0.002740008907819809,7.96434737150421,0.05598431227328963,13640.34584914985,10.724858961058715,7.881608474867748e-05,1828.527913969171,0.08162434060784911,0.06192966903577871
Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/t1.nii.gz,/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/flair_seg_label1.nii.gz,v3.0.1,1.19.5,2.1.1.2,1.1.1,3.6.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},7659e2362aba021fee1e6087c757a7c2d8c831d8,3D,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)",113.6061331431071,0.0,1280.0,580b32b4b215d3d1a576ef7082661883d4cd7d9c,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)","(167, 247, 1, 236, 205, 16)",118819,11,"(289.7043738795984, 363.56740925272896, 8.728435687895034)","(17.439291024645115, 20.481109387898215, -18.752865351000608)",0.4913999425003318,0.44535781200728053,57.250512099248574,128.54947315555938,112.21990545553047,118.72059468444452,116.28130374729082,138.70042925235478,182369.11865092439,63.169203717089836,0.45004492322844164,34556.450228151545,0.189486303842355,182791.79554458283,356.0,689.0,35500524742.0,4.37230177973631,173.0,5.159106359848045,1116.0,108.06766338610454,527.5991213526456,543.0,0.0,1116.0,71.90951139844296,546.6060569116128,-1.008436780156539,54614200257.24058,0.05580270091077961,20417.348600377623,467.4034822381984,38663.618939455475,-642.9914693112067,91.91695332307803,22.5055692464791,0.5901189376616172,3.098244834984444,2.915265734774178,10.302459353911349,0.44369683327726894,0.37450208559325127,0.9896924626562845,0.9401485501928408,-0.2089834101334501,0.7244577096033825,0.2792016139749261,21.21280314769421,0.008840215798192472,7.759662225298486,0.6143361617161035,0.01790870800646616,42.42560629538843,5.184967026870721,28.60563064238926,7.832414210743275,12267.538651225814,0.10324559751576612,8.867166213750696,6630.421119517922,32.36328978544175,500.3844166337034,47.01210244152871,22687.006051220764,1.9994110172675772,0.021912705701510025,0.07123236518906424,35.26240673243293,0.0005964529535027287,5286.030719094201,0.055774405495794675,30.928878807821434,503.72016923963963,3.139833949470068,1489.722108795323,0.18871981223621653,0.017544946866864055,5.23228109797826,74882.63121243611,0.7210279916693371,0.8009169732631469,1.0117676947352772,0.8457968699593775,426.03681694075146,0.01454010448244362,316.42062537582683,0.047567742840623393,34.92273488746801,490.8466626578473,13959.402134696333,6547480.619061937,572.992837031484,0.0058859187580663965,1307.5769693325315,0.19656899719370588,0.45197394992204465,210.83557585018562,0.002740008907819809,7.96434737150421,0.05598431227328963,13640.34584914985,10.724858961058715,7.881608474867748e-05,1828.527913969171,0.08162434060784911,0.06192966903577871
Image,Mask,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/t1.nii.gz,/hdd3/bran/data/SD_glioma/submitted_data/MOTUM-v.2.2/017-LungMeta-CZYY/flair_seg_label1.nii.gz,v3.0.1,1.19.5,2.1.1.2,1.1.1,3.6.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},7659e2362aba021fee1e6087c757a7c2d8c831d8,3D,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)",113.6061331431071,0.0,1280.0,580b32b4b215d3d1a576ef7082661883d4cd7d9c,"(0.46880000829696655, 0.46880000829696655, 6.999960422515869)","(512, 512, 18)","(167, 247, 1, 236, 205, 16)",118819,11,"(289.7043738795984, 363.56740925272896, 8.728435687895034)","(17.439309680927067, 20.48109527135111, -18.752867077022103)",0.4913999425003318,0.44535781200728053,57.250512099248574,128.54947315555938,112.21990545553047,118.72059468444452,116.28130374729082,138.70042925235478,182369.11865092439,63.169203717089836,0.45004492322844164,34556.450228151545,0.189486303842355,182791.79554458283,356.0,689.0,35500524742.0,4.37230177973631,173.0,5.159106359848045,1116.0,108.06766338610454,527.5991213526456,543.0,0.0,1116.0,71.90951139844296,546.6060569116128,-1.008436780156539,54614200257.24058,0.05580270091077961,20417.348600377623,467.4034822381984,38663.618939455475,-642.9914693112067,91.91695332307803,22.5055692464791,0.5901189376616172,3.098244834984444,2.915265734774178,10.302459353911349,0.44369683327726894,0.37450208559325127,0.9896924626562845,0.9401485501928408,-0.2089834101334501,0.7244577096033825,0.2792016139749261,21.21280314769421,0.008840215798192472,7.759662225298486,0.6143361617161035,0.01790870800646616,42.42560629538843,5.184967026870721,28.60563064238926,7.832414210743275,12267.538651225814,0.10324559751576612,8.867166213750696,6630.421119517922,32.36328978544175,500.3844166337034,47.01210244152871,22687.006051220764,1.9994110172675772,0.021912705701510025,0.07123236518906424,35.26240673243293,0.0005964529535027287,5286.030719094201,0.055774405495794675,30.928878807821434,503.72016923963963,3.139833949470068,1489.722108795323,0.18871981223621653,0.017544946866864055,5.23228109797826,74882.63121243611,0.7210279916693371,0.8009169732631469,1.0117676947352772,0.8457968699593775,426.03681694075146,0.01454010448244362,316.42062537582683,0.047567742840623393,34.92273488746801,490.8466626578473,13959.402134696333,6547480.619061937,572.992837031484,0.0058859187580663965,1307.5769693325315,0.19656899719370588,0.45197394992204465,210.83557585018562,0.002740008907819809,7.96434737150421,0.05598431227328963,13640.34584914985,10.724858961058715,7.881608474867748e-05,1828.527913969171,0.08162434060784911,0.06192966903577871
